,address_full,lat,lon,bike_score,transit_score,walk_score
494,1860 White Oak Dr #339 Houston 77009,,,,,
495,1879 Dart St Houston 77007,29.7687241,-95.3653592,81,86,46
496,1880 White Oak Dr #118 Houston 77009,,,,,
497,1880 White Oak Dr #159 Houston 77009,,,,,
498,1880 White Oak Dr #176 Houston 77009,,,,,
499,1901 Fletcher St Houston 77009,29.7749138,-95.3632085,68,76,64
500,1904 W 14th 1/2 St Houston 77008,,,,,
501,1906 Tabor St Houston 77009,29.7999773,-95.37721,57,54,70
502,1907 Benson St Houston 77020,29.772009,-95.329649,62,47,64
503,1907 Brimberry St Houston 77018,29.833787,-95.448894,56,35,41
504,1907 De Milo Dr Houston 77018,29.834672,-95.446087,48,36,35
505,1910 Oakdale  B Houston 77004,29.718894,-95.373236,67,45,83
506,1910 Oakdale  C Houston 77004,,,,,
507,1910 Oakdale #A Houston 77004,29.718894,-95.373236,,,
508,1912 Summer Street A Houston 77007,,,,,
509,1912 Summer Street B Houston 77007,,,,,
510,1915 Oxford St Houston 77008,29.7861655,-95.3919321,71,43,69
511,1917 Chestnut St Houston 77009,29.778127,-95.359818,68,67,75
512,1918 Goliad St Houston 77007,29.769335,-95.370579,75,80,62
513,1919 Johnson St Houston 77007,29.7773124,-95.3736328,67,61,59
514,2004 B Rosedale St Houston 77004,29.7278663,-95.3817602,72,67,74
515,2004 D Rosedale St Houston 77004,29.7278663,-95.3817602,72,67,74
516,2004 Live Oak St Houston 77003,29.742543,-95.3560198,59,70,55
517,2006 Wilde Rock Way Houston 77018,29.8143554,-95.4294586,66,39,60
518,2008 Lubbock St Houston 77007,29.765315,-95.371752,84,91,70
519,2009 Hickory Houston 77007,29.7737414,-95.3712105,76,70,69
520,2011 Chippendale Rd Houston 77018,29.8220926,-95.4296389,76,39,70
521,2011 Hickory Houston 77007,29.7737414,-95.3712105,76,70,69
522,2011 Millwood Dr Houston 77008,29.804694,-95.440071,55,38,51
523,2013 Hickory Houston 77007,29.7737414,-95.3712105,76,70,69
524,2015 Shearn St Houston 77007,29.7744525,-95.3758975,76,56,70
525,2017 Fulton St Houston 77009,29.8105075,-95.3698173,48,57,42
526,2017 Lazybrook Dr Houston 77008,29.803899,-95.439195,52,37,52
527,2018 Cheshire ln Houston 77018,29.830018,-95.441151,50,37,51
528,2018 Viking Dr Houston 77018,29.835483,-95.445968,48,36,35
